formation_date,group,t,CAR
2016-01-31,Loser,20,0.05709471391717849
2016-01-31,Winner,21,0.02576638388339939
2016-01-31,Loser,21,0.03908032849179028
2016-01-31,Winner,22,0.02494665470589734
2016-01-31,Loser,22,0.05073626614474218
2016-01-31,Winner,23,0.02604452486707128
2016-01-31,Loser,23,0.09136275786178015
2016-01-31,Winner,24,0.04977054391714744
2016-01-31,Loser,24,0.08227505688597649
2016-01-31,Winner,25,0.08072953870786446
2016-01-31,Loser,25,0.0507258471939746
2016-01-31,Winner,26,0.08127062352618931
2016-01-31,Loser,26,0.053212607393847824
2016-01-31,Winner,27,0.08202503451587974
2016-01-31,Loser,27,0.07325030629148355
2016-01-31,Winner,28,0.12199330961399993
2016-01-31,Loser,28,0.0834111959601722
2016-01-31,Winner,29,0.1340651234273313
2016-01-31,Loser,29,0.07735402746034459
2016-01-31,Winner,30,0.1058158063056168
2016-01-31,Loser,30,0.07357911825512013
2016-01-31,Winner,31,0.1454420184226278
2016-01-31,Loser,31,0.047207469100964745
2016-01-31,Winner,32,0.1438320725635148
2016-01-31,Loser,32,0.05016530327964537
2016-01-31,Winner,33,0.1173680127953722
2016-01-31,Loser,33,0.03415443706044301
2016-01-31,Winner,34,0.09286863055148849
2016-01-31,Loser,34,0.015369378670570387
2016-01-31,Winner,35,0.102114096607922
2016-01-31,Loser,35,0.008406321583107994
2016-01-31,Winner,36,0.12037310996122234
2016-01-31,Loser,36,0.02290029310475542
2019-01-31,Winner,1,0.018349990615493476
2019-01-31,Loser,1,-0.01743533838497932
2019-01-31,Winner,2,0.027598780740581738
2019-01-31,Loser,2,-0.02003045097686016
2019-01-31,Winner,3,0.03692852179018853
2019-01-31,Loser,3,-0.03876015803620497
2019-01-31,Winner,4,0.01591359561653632
2019-01-31,Loser,4,-0.054225382333001095
2019-01-31,Winner,5,0.03356040746803556
2019-01-31,Loser,5,-0.05572077270974339
2019-01-31,Winner,6,0.017417402671011113
2019-01-31,Loser,6,-0.07136216017863448
2019-01-31,Winner,7,0.004718627716734813
2019-01-31,Loser,7,-0.10867811912866172
2019-01-31,Winner,8,-0.007484460224337326
2019-01-31,Loser,8,-0.08864749132986506
2019-01-31,Winner,9,0.00996796567232852
2019-01-31,Loser,9,-0.1153525199958723
2019-01-31,Winner,10,0.06674144046439602
2019-01-31,Loser,10,-0.12285233929798729
2019-01-31,Winner,11,0.06744832383829
2019-01-31,Loser,11,-0.10593412959107917
2019-01-31,Winner,12,0.08934122772887429
2019-01-31,Loser,12,-0.11802738855052523
2019-01-31,Winner,13,0.12113290358631415
2019-01-31,Loser,13,-0.12662283575776231
2019-01-31,Winner,14,0.13205746355090042
2019-01-31,Loser,14,-0.13330373692640163
2019-01-31,Winner,15,0.17495255606364674
2019-01-31,Loser,15,-0.11997051649383457
2019-01-31,Winner,16,0.2146659577589106
2019-01-31,Loser,16,-0.147286410511809
2019-01-31,Winner,17,0.2501251839634662
2019-01-31,Loser,17,-0.14712472623044387
2019-01-31,Winner,18,0.26665699463573067
2019-01-31,Loser,18,-0.16982423857388645
2019-01-31,Winner,19,0.2682939759856831
2019-01-31,Loser,19,-0.19492308579031536
2019-01-31,Winner,20,0.25712981080412095
2019-01-31,Loser,20,-0.22634854697471668
2019-01-31,Winner,21,0.2726089269961104
2019-01-31,Loser,21,-0.20633222044678323
2019-01-31,Winner,22,0.289789845908664
2019-01-31,Loser,22,-0.18467054481252967
2019-01-31,Winner,23,0.3216619472467555
2019-01-31,Loser,23,-0.19648954830631413
2019-01-31,Winner,24,0.3327707013893217
2019-01-31,Loser,24,-0.16793999643095434
2019-01-31,Winner,25,0.3257465599998868
2019-01-31,Loser,25,-0.17496042735693293
2019-01-31,Winner,26,0.29657081894010157
2019-01-31,Loser,26,-0.155607097098694
2019-01-31,Winner,27,0.30178012256305015
2019-01-31,Loser,27,-0.17904179754306151
2019-01-31,Winner,28,0.2834853711104666
2019-01-31,Loser,28,-0.15960805723940388
2019-01-31,Winner,29,0.34114331821493205
2019-01-31,Loser,29,-0.1717853574929341
2019-01-31,Winner,30,0.3581307758732378
2019-01-31,Loser,30,-0.20520049075480823
2019-01-31,Winner,31,0.3653411002632802
2019-01-31,Loser,31,-0.21554751299792152
2019-01-31,Winner,32,0.3591041016716523
2019-01-31,Loser,32,-0.18553873219989261
2019-01-31,Winner,33,0.39328551907192216
2019-01-31,Loser,33,-0.20469493910932415
2019-01-31,Winner,34,0.4047113682687798
2019-01-31,Loser,34,-0.20684065546414437
2019-01-31,Winner,35,0.36363898935666983
2019-01-31,Loser,35,-0.18873231029554857
2019-01-31,Winner,36,0.2978328977280364
2019-01-31,Loser,36,-0.12670143170405826
2022-01-31,Winner,1,0.00865536745902015
2022-01-31,Loser,1,0.01680287183742157
2022-01-31,Winner,2,-0.00857887117609566
2022-01-31,Loser,2,0.0027160033213571365
2022-01-31,Winner,3,-0.07659497782570736
2022-01-31,Loser,3,0.03467753987681049
2022-01-31,Winner,4,-0.06185330174726161
2022-01-31,Loser,4,0.04318830247812455
2022-01-31,Winner,5,-0.10277927778090835
2022-01-31,Loser,5,0.0244531413406992
2022-01-31,Winner,6,-0.008805137673607496
2022-01-31,Loser,6,-0.018131913594808854
2022-01-31,Winner,7,-0.02253457863619999
2022-01-31,Loser,7,-0.011546448539383193
2022-01-31,Winner,8,-0.0480722001942418
2022-01-31,Loser,8,-0.007366808399001073
2022-01-31,Winner,9,-0.07241710014248733
2022-01-31,Loser,9,0.006642630146538757
2022-01-31,Winner,10,-0.05898394612201371
2022-01-31,Loser,10,0.013152809547983523
2022-01-31,Winner,11,-0.09768250341430092
2022-01-31,Loser,11,0.01209630443424975
2022-01-31,Winner,12,-0.010390687358984048
2022-01-31,Loser,12,0.017637799547863802
2022-01-31,Winner,13,0.02225835881030327
2022-01-31,Loser,13,0.0009462990227706914
2022-01-31,Winner,14,0.0532970240736545
2022-01-31,Loser,14,-0.010366131947329653
2022-01-31,Winner,15,0.017477657537364303
2022-01-31,Loser,15,0.008806983864575424
2022-01-31,Winner,16,0.11538847056458212
2022-01-31,Loser,16,-0.018205270730611126
2022-01-31,Winner,17,0.15058346088386307
2022-01-31,Loser,17,-0.003162932771265369
2022-01-31,Winner,18,0.17778776318220899
2022-01-31,Loser,18,-0.022351337864924114
2022-01-31,Winner,19,0.16895185310838698
2022-01-31,Loser,19,-0.04355714425803725
2022-01-31,Winner,20,0.15496610103142724
2022-01-31,Loser,20,-0.05409743163770971
2022-01-31,Winner,21,0.1036089905058069
